04/06/2022, 05:53:41.681, 05:53:47.742,nglOrderAPI_createOrder_2,6.06081
04/06/2022, 05:53:38.167, 05:53:47.805,nglOrderAPI_createOrder_2,9.63722
04/06/2022, 05:53:41.525, 05:53:47.883,nglOrderAPI_createOrder_2,6.35721
04/06/2022, 05:53:39.980, 05:53:48.274,nglOrderAPI_createOrder_2,8.29362
04/06/2022, 05:53:41.932, 05:53:48.445,nglOrderAPI_createOrder_2,6.51321
04/06/2022, 05:53:41.963, 05:53:48.445,nglOrderAPI_createOrder_2,6.48201
04/06/2022, 05:53:39.918, 05:53:48.820,nglOrderAPI_createOrder_2,8.90202
04/06/2022, 05:53:41.588, 05:53:49.243,nglOrderAPI_createOrder_2,7.65501
04/06/2022, 05:53:39.416, 05:53:49.414,nglOrderAPI_createOrder_2,9.99802
04/06/2022, 05:53:40.401, 05:53:50.570,nglOrderAPI_createOrder_2,10.16862
04/06/2022, 05:53:40.666, 05:53:50.601,nglOrderAPI_createOrder_2,9.93462
04/06/2022, 05:53:41.26, 05:53:50.601,nglOrderAPI_createOrder_2,9.57482
04/06/2022, 05:53:42.353, 05:53:49.539,nglOrderAPI_createOrder_2,7.18601
04/06/2022, 05:53:43.103, 05:53:50.726,nglOrderAPI_createOrder_2,7.62281
04/06/2022, 05:53:41.338, 05:53:50.617,nglOrderAPI_createOrder_2,9.27842
04/06/2022, 05:53:41.11, 05:53:50.617,nglOrderAPI_createOrder_2,9.60602
04/06/2022, 05:53:43.540, 05:53:50.726,nglOrderAPI_createOrder_2,7.18601
04/06/2022, 05:53:44.337, 05:53:50.695,nglOrderAPI_createOrder_2,6.35721
04/06/2022, 05:53:42.587, 05:53:50.695,nglOrderAPI_createOrder_2,8.10741
04/06/2022, 05:53:44.337, 05:53:50.679,nglOrderAPI_createOrder_2,6.34161
04/06/2022, 05:53:40.261, 05:53:50.710,nglOrderAPI_createOrder_2,10.44942
04/06/2022, 05:53:43.446, 05:53:50.710,nglOrderAPI_createOrder_2,7.26401
04/06/2022, 05:53:42.416, 05:53:50.710,nglOrderAPI_createOrder_2,8.29462
04/06/2022, 05:53:44.837, 05:53:50.710,nglOrderAPI_createOrder_2,5.87361
04/06/2022, 05:53:44.618, 05:53:50.804,nglOrderAPI_createOrder_2,6.18561
04/06/2022, 05:53:44.883, 05:53:50.804,nglOrderAPI_createOrder_2,5.92041
04/06/2022, 05:53:44.649, 05:53:50.976,nglOrderAPI_createOrder_2,6.32701
04/06/2022, 05:53:41.603, 05:53:51.148,nglOrderAPI_createOrder_2,9.54462
04/06/2022, 05:53:44.868, 05:53:51.195,nglOrderAPI_createOrder_2,6.32701
04/06/2022, 05:53:45.385, 05:53:51.210,nglOrderAPI_createOrder_2,5.82581
04/06/2022, 05:53:45.899, 05:53:51.928,nglOrderAPI_createOrder_2,6.02861
04/06/2022, 05:53:45.353, 05:53:52.38,nglOrderAPI_createOrder_2,6.68481
04/06/2022, 05:53:48.461, 05:53:52.366,nglOrderAPI_createOrder_2,3.90501
04/06/2022, 05:53:46.931, 05:53:53.85,nglOrderAPI_createOrder_2,6.15341
04/06/2022, 05:53:46.384, 05:53:53.537,nglOrderAPI_createOrder_2,7.15281
04/06/2022, 05:53:45.634, 05:53:53.990,nglOrderAPI_createOrder_2,8.35602
04/06/2022, 05:53:48.55, 05:53:54.37,nglOrderAPI_createOrder_2,5.98181
04/06/2022, 05:53:48.180, 05:53:54.84,nglOrderAPI_createOrder_2,5.90381
04/06/2022, 05:53:47.196, 05:53:54.146,nglOrderAPI_createOrder_2,6.95001
04/06/2022, 05:53:48.305, 05:53:54.193,nglOrderAPI_createOrder_2,5.88821
04/06/2022, 05:53:46.649, 05:53:54.396,nglOrderAPI_createOrder_2,7.74661
04/06/2022, 05:53:45.369, 05:53:54.786,nglOrderAPI_createOrder_2,9.41682
04/06/2022, 05:53:48.258, 05:53:55.863,nglOrderAPI_createOrder_2,7.60521
04/06/2022, 05:53:50.741, 05:53:55.910,nglOrderAPI_createOrder_2,5.16861
04/06/2022, 05:53:46.150, 05:53:55.927,nglOrderAPI_createOrder_2,9.77662
04/06/2022, 05:53:50.71, 05:53:55.927,nglOrderAPI_createOrder_2,5.85601
04/06/2022, 05:53:46.649, 05:53:55.942,nglOrderAPI_createOrder_2,9.29302
04/06/2022, 05:53:46.649, 05:53:55.958,nglOrderAPI_createOrder_2,9.30862
04/06/2022, 05:53:45.619, 05:53:56.410,nglOrderAPI_createOrder_2,10.79162
04/06/2022, 05:53:46.134, 05:53:56.988,nglOrderAPI_createOrder_2,10.85402
04/06/2022, 05:53:51.8, 05:53:57.691,nglOrderAPI_createOrder_2,6.68281
04/06/2022, 05:53:50.882, 05:53:58.128,nglOrderAPI_createOrder_2,7.24641
04/06/2022, 05:53:51.507, 05:53:58.284,nglOrderAPI_createOrder_2,6.77741
04/06/2022, 05:53:51.242, 05:53:58.284,nglOrderAPI_createOrder_2,7.04261
04/06/2022, 05:53:50.773, 05:53:58.284,nglOrderAPI_createOrder_2,7.51161
04/06/2022, 05:53:51.273, 05:53:58.300,nglOrderAPI_createOrder_2,7.02701
04/06/2022, 05:53:51.507, 05:53:58.409,nglOrderAPI_createOrder_2,6.90221
04/06/2022, 05:53:51.257, 05:53:58.409,nglOrderAPI_createOrder_2,7.15181
04/06/2022, 05:53:51.507, 05:53:58.440,nglOrderAPI_createOrder_2,6.93341
04/06/2022, 05:53:51.8, 05:53:58.440,nglOrderAPI_createOrder_2,7.43261
04/06/2022, 05:53:51.8, 05:53:58.440,nglOrderAPI_createOrder_2,7.43261
04/06/2022, 05:53:51.507, 05:53:58.456,nglOrderAPI_createOrder_2,6.94901
04/06/2022, 05:53:50.741, 05:53:58.659,nglOrderAPI_createOrder_2,7.91721
04/06/2022, 05:53:51.507, 05:53:58.503,nglOrderAPI_createOrder_2,6.99581
04/06/2022, 05:53:51.23, 05:53:58.534,nglOrderAPI_createOrder_2,7.51061
04/06/2022, 05:53:51.366, 05:53:58.534,nglOrderAPI_createOrder_2,7.16741
04/06/2022, 05:53:51.507, 05:53:58.581,nglOrderAPI_createOrder_2,7.07381
04/06/2022, 05:53:51.507, 05:53:58.674,nglOrderAPI_createOrder_2,7.16741
04/06/2022, 05:53:50.897, 05:53:58.690,nglOrderAPI_createOrder_2,7.79241
04/06/2022, 05:53:51.522, 05:53:59.35,nglOrderAPI_createOrder_2,7.51261
04/06/2022, 05:53:51.242, 05:53:59.269,nglOrderAPI_createOrder_2,8.02741
04/06/2022, 05:53:51.273, 05:53:59.316,nglOrderAPI_createOrder_2,8.04301
04/06/2022, 05:53:51.507, 05:53:59.753,nglOrderAPI_createOrder_2,8.24582
04/06/2022, 05:53:53.475, 05:54:0.284,nglOrderAPI_createOrder_2,6.80961
04/06/2022, 05:53:52.397, 05:54:0.300,nglOrderAPI_createOrder_2,7.90261
